country,admin1,admin2,admin3,maize_fractional_area,sorghum_fractional_area,potato_fractional_area,cassava_fractional_area,millet_fractional_area,springlentil_fractional_area,maize_grain_yield,maize_pd,sorghum_grain_yield,sorghum_pd,cassava_grain_yield,cassava_pd,millet_grain_yield,millet_pd,springlentil_grain_yield,springlentil_pd,potato_grain_yield,potato_pd
Kenya,Kitui,Kitui Rural,Mbitini,0.002636713208630681,0.00022398061992134902,0.0001911126892082393,0.00010369883966632187,0.00016097007028292865,4.389425157569349e-06,2.2137214114285713,288,1.5456875561904764,288,1.6803315385714286,319,1.0909486304761904,319,0.6304175033333334,319,1.7146256223809526,319
Kenya,Kitui,Kitui Rural,Mulango,0.0020739661995321512,0.00017617701087146997,0.00015032397641334685,8.156665717251599e-05,0.00012661462824326009,3.4526010495028467e-06,2.33623611,288,1.5850138266666665,319,1.7553510966666668,319,1.1385574438095236,319,0.7109573266666667,319,1.8069742423809523,345
Kenya,Kitui,Kitui South,Athi,0.008528271690011023,0.0007244502194225787,0.0006181410863064231,0.0003354069194756448,0.0005206468631513417,1.4197299606166778e-05,1.9981820752380954,288,1.3499646638095237,319,1.5625949300000002,288,0.9492643428571428,319,0.4622091419047619,319,1.5739189133333333,319
Kenya,Kitui,Kitui South,Ikanga/Kyatune,0.002731981221586466,0.00023207334743347016,0.000198017864022404,0.00010744562314357607,0.00016678613610565662,4.548021024675109e-06,1.9657314700000001,288,1.3418845342857142,288,1.575577947142857,319,0.9333038171428573,319,0.5254905838095238,319,1.5213820766666666,345
Kenya,Kitui,Kitui South,Ikutha,0.004914538003504275,0.0004174747737124562,0.0003562126657925546,0.0001932830200530589,0.00030003016581758857,8.181395969586447e-06,2.105194301904762,288,1.3950302271428572,319,1.60262335,288,0.9731853661904761,319,0.4805226366666667,319,1.6135427980952382,319
Kenya,Kitui,Kitui South,Kanziko,0.0030024058651179075,0.00025504507357254624,0.0002176186098949984,0.00011808109411504121,0.00018329541489947587,4.998205895390129e-06,1.893806389047619,288,1.282334569047619,288,1.4594665599999999,288,0.9030743638095238,319,0.49290502476190473,288,1.4971858214285716,319
Kenya,Kitui,Kitui South,Mutha,0.012242233380675316,0.0010399398161098359,0.0008873343467712402,0.0004814726707991213,0.0007473824080079794,2.038005732174497e-05,1.75852014,288,1.1899610866666666,319,1.3384244500000002,288,0.8374845495238097,319,0.44845688,288,1.489835,288
Kenya,Kitui,Kitui South,Mutomo,0.003295206930488348,0.00027991764363832766,0.00023884126858320087,0.00012959663581568748,0.00020117079839110372,5.4856418501003645e-06,2.04427522,288,1.350420241904762,319,1.5939394609523811,319,0.9441804909523809,319,0.5104339166666667,319,1.5087404676190477,345
Kenya,Kitui,Kitui West,Kauwi,0.0077765118330717095,0.0006605905946344137,0.0005636525456793606,0.00030584109481424093,0.0004747523344121874,1.2945822163601406e-05,2.4123329,288,1.700728581904762,288,1.779728816190476,319,1.2072464314285714,319,0.7605050257142858,319,1.9593635533333333,319
Kenya,Kitui,Kitui West,Kwa Mutonga/Kithumula,0.0018721047090366485,0.00015902948507573458,0.00013569278235081583,7.362767792074008e-05,0.00011429109144955872,3.1165554901235737e-06,2.3288928100000006,288,1.6466245090476188,319,1.7643381776190477,319,1.1892356014285714,319,0.7512028733333334,319,1.8752695219047617,319
Kenya,Kitui,Kitui West,Matinyani,0.000720110721886158,6.117117300163954e-05,5.2194642194081105e-05,2.832111204043031e-05,4.3962412746623165e-05,1.198792574541585e-06,2.4945338199999996,288,1.8179500104761908,319,2.02804985,288,1.3372364742857143,319,0.7634343671428571,319,2.157936438095238,345
Kenya,Kitui,Kitui West,Mutonguni,0.005784014239907265,0.0004913341253995894,0.00041923351818695664,0.00022747850744053721,0.0003531112743075937,9.628843145037537e-06,2.35969775,288,1.6695163499999999,288,1.7636378161904762,319,1.180081000952381,319,0.7550824109523809,319,1.9028887276190478,319
Kenya,Kitui,Mwingi Central,Kiomo/Kyethani,0.005758092738687992,0.0004891321295872331,0.00041735466220416134,0.00022645902936346832,0.00035152878263033926,9.585690349922515e-06,1.89580123,288,1.291652509047619,288,1.4812809290476188,319,0.8967137533333334,319,0.4684039395238095,319,1.445277591904762,319
Kenya,Kitui,Mwingi Central,Kivou,0.003745212918147445,0.00031814424437470734,0.0002714583242777735,0.00014729483518749475,0.00022864341735839844,6.2347812672669525e-06,1.9106815799999999,288,1.307413568571429,288,1.497172470952381,319,0.9066851533333334,319,0.4812535628571428,319,1.465463947142857,319
Kenya,Kitui,Mwingi Central,Mui,0.002743134740740061,0.0002330207935301587,0.0001988262520171702,0.00010788426152430476,0.00016746703477110714,4.566588359011804e-06,2.174686927142857,288,1.450709248095238,288,1.686826144285714,319,1.0141985557142859,319,0.6285519523809524,319,1.6445111376190478,345
Kenya,Kitui,Mwingi Central,Nguni,0.006543814670294522,0.0005558767588809133,0.00047430492122657597,0.0002573605452198535,0.0003994966682512313,1.0893707440118304e-05,1.4825486171428568,288,1.026263685714286,319,1.224076520952381,319,0.7291400261904764,319,0.37466859190476187,288,1.2420359604761904,319
Kenya,Kitui,Mwingi Central,Nuu,0.007108911406248808,0.0006038799765519798,0.0005152638768777251,0.00027958516147919,0.00043399556307122117,1.1834444194391835e-05,1.776211214761905,288,1.2292113761904762,288,1.4323015166666668,319,0.8537052928571429,319,0.4396793909523809,319,1.3934754038095236,319
Kenya,Kitui,Mwingi Central,Waita,0.0017453863983973859,0.00014826518599875269,0.00012650807911995798,6.864400347694755e-05,0.00010655498772393912,2.905603423641878e-06,1.91415753,288,1.3203150066666667,288,1.5130319252380953,319,0.9187645252380954,319,0.49834448047619045,319,1.4970466738095238,319
Kenya,Kitui,Mwingi North,Kyuso,0.0053892433643341064,0.0004577994986902922,0.0003906199417542666,0.00021195263252593577,0.00032901071244850755,8.97165409696754e-06,1.6994002476190477,288,1.2407853557142858,319,1.3664930800000001,288,0.8771275857142857,319,0.4507762461904762,319,1.4351857780952382,319
Kenya,Kitui,Mwingi North,Mumoni,0.010373166762292385,0.0008811683510430158,0.0007518617203459144,0.0004079644568264485,0.000633276766166091,1.7268557712668553e-05,2.02805731,319,1.3716442657142855,319,1.5413253585714286,319,0.9710765138095236,319,0.5618878995238095,319,1.591226538095238,319
Kenya,Kitui,Mwingi North,Ngomeni,0.003345551202073693,0.0002841941895894706,0.00024249024863820523,0.00013157661305740476,0.00020424427930265665,5.569451332121389e-06,1.3846495223809523,288,1.0022036585714285,319,1.15342476,288,0.7034842733333334,319,0.34342112999999996,288,1.2355811900000002,288
Kenya,Kitui,Mwingi North,Tharaka,0.00634606508538127,0.0005390785518102348,0.0004599717503879219,0.0002495833032298833,0.0003874242247547954,1.056450855685398e-05,1.5574662366666665,288,1.0644784276190475,319,1.2691655547619047,319,0.7334806676190476,319,0.36623827380952373,319,1.2319710604761904,319
Kenya,Kitui,Mwingi North,Tseikuru,0.006952052470296621,0.0005905551952309906,0.000503894523717463,0.0002734160516411066,0.00042441938421688974,1.1573314623092301e-05,1.23109729,288,0.8884060499999998,319,1.058657740952381,319,0.6173313461904761,319,0.30480076,288,1.08607246,288
Kenya,Kitui,Mwingi West,Kyome/Thaana,0.0030153589323163037,0.00025614540209062403,0.00021855747036170212,0.00011859053483931348,0.00018408619507681578,5.019769105274463e-06,2.0590196800000005,288,1.4260268971428574,288,1.587991443809524,319,1.0183850357142856,319,0.6217963138095237,319,1.6818722452380954,319
Kenya,Kitui,Mwingi West,Migwani,0.0021321936510503288,0.00018112325051333755,0.00015454439562745392,8.385667024413124e-05,0.00013016938464716077,3.5495343126967782e-06,2.310691378095238,288,1.6074551428571433,288,1.8179161799999999,288,1.1099998866666667,319,0.5793210457142857,319,1.8582046409523811,345
Kenya,Kitui,Mwingi West,Nguutani,0.0009722121176309883,8.258640446001664e-05,7.0467300247401e-05,3.823596125585027e-05,5.9353078540880226e-05,1.6184742435143562e-06,2.2774761900000002,288,1.5920521038095237,288,1.7320731019047622,319,1.1332322595238096,319,0.7609474490476191,319,1.8299471976190478,345
Kenya,Kwale,Kinango,Chengoni/Samburu,0.008487376384437084,0.0007209763280116023,0.0006151769775897263,0.00033379855449311435,0.0005181502201594412,1.4129221199254971e-05,2.2724359823809523,15,1.5728855852380952,46,1.8400334990476193,345,1.134789168095238,46,0.7029410133333334,15,1.945457588095238,345
Kenya,Kwale,Kinango,Kinango,0.005104380194097757,0.0004336012643761933,0.00036997266579419374,0.00020074928761459887,0.00031161989318206906,8.497432645526715e-06,2.4996050933333334,15,1.644168339047619,46,1.8516042000000001,15,1.1804061347619048,46,0.7442150709523809,15,1.997038040952381,345
Kenya,Kwale,Kinango,Mackinnon Road,0.012658934108912943,0.0010753371752798557,0.0009175374289043248,0.0004978610086254777,0.0007728217751719058,2.1073750758660026e-05,2.601619389047619,288,1.6418164004761908,319,1.9318960619047616,319,1.1701246157142855,319,0.6441111985714286,319,1.950744748095238,345
Kenya,Kwale,Kinango,Mwavumbo,0.007414894178509712,0.0006298722582869233,0.0005374419852159917,0.0002916191006079316,0.0004526756529230624,1.2343822163529696e-05,2.2343605671428572,15,1.5518402942857141,46,1.7336075676190479,15,1.0997749995238097,46,0.7079626571428572,15,1.8918959261904764,345
Kenya,Kwale,Kinango,Ndavaya,0.006033504381775856,0.000512527534738183,0.0004373168922029436,0.00023729067470412701,0.0003683425311464816,1.0044178452517372e-05,2.56654092047619,288,1.7005875799999999,319,2.0034989619047616,319,1.2154383323809523,345,0.7234572980952381,345,2.073452204285714,345
Kenya,Kwale,Kinango,Puma,0.013673989102244377,0.001161562860943377,0.0009911099914461372,0.0005377820343710481,0.000834790407679975,2.276354825880844e-05,2.79953882047619,288,1.8855933147619044,319,2.2194021895238096,319,1.3852042638095239,345,0.8877834352380953,345,2.2512941838095233,345
Kenya,Kwale,Lungalunga,Dzombo,0.0008701758924871683,7.391874532913789e-05,6.30715730949305e-05,3.422299778321758e-05,5.3123814723221585e-05,1.4486108739220072e-06,2.5562274171428574,15,1.6876218204761906,15,1.9086508304761907,15,1.207512212857143,15,0.7419181585714286,345,2.050634812380952,15
Kenya,Kwale,Lungalunga,Mwereni,0.012083975598216057,0.001049628364853561,0.0008065046858973801,0.0009345734724774957,0.0006861842703074218,1.7939248209586367e-05,2.7310591947619045,319,1.8659377123809524,15,2.0829163533333332,345,1.3596067542857142,15,0.9216567761904761,345,2.2047699395238096,345
Kenya,Kwale,Lungalunga,Pongwe/Kikoneni,0.0009572624112479387,8.131647336995229e-05,6.938372825970873e-05,3.7648009310942136e-05,5.8440407883608714e-05,1.5935869441818795e-06,2.8843533033333335,15,1.8332712623809524,46,2.0385006323809525,15,1.302171274285714,46,0.8898132090476191,345,2.207788992857143,345
Kenya,Kwale,Lungalunga,Vanga,0.003547993022948503,0.0003013910027220845,0.00025716351228766143,0.0001395384024363011,0.00021660325000993907,5.906462774873944e-06,2.59803445,15,1.7637265385714282,46,1.9195901247619047,15,1.276215899047619,46,0.890133782857143,345,2.146787280952381,345
Kenya,Kwale,Matuga,Kubo South,0.0020010280422866344,0.0001699811255093664,0.00014503732381854206,7.869808177929373e-05,0.00012216178583912551,3.331178277221625e-06,2.7873447047619044,15,1.8414069352380953,15,2.05616545,345,1.3384111057142856,46,0.8764973628571429,345,2.154615913333333,345
Kenya,Kwale,Matuga,Mkongani,0.000127765626530163,1.0853293133550324e-05,9.260632396035362e-06,5.02487182529876e-06,7.800029379723128e-06,2.1269572414439608e-07,2.763701108571428,15,1.8114331214285717,15,2.031954597619048,345,1.3147772914285716,46,0.9071755361904762,345,2.1955876214285714,345
Kenya,Kwale,Matuga,Tsimba Golini,0.0005811586743220688,4.9367630708729855e-05,4.212319981888868e-05,2.285628943354823e-05,3.5479453799780465e-05,9.674744205767638e-07,2.821707200952381,15,1.814941322857143,46,2.055212613333333,15,1.303054415714286,46,0.7347437714285714,15,2.1938664323809522,15
